id,CASEHDRDATA_APPSIGNDATEdiff,CASEHDRDATA_DATEISSUEDdiff,CASEHDRDATA_DATERECEIVEDdiff,CASEHDRDATA_EAPPDATARECEIVEDdiff,CASEHDRDATA_RATELOCKEFFECTIVEDATEdiff,CASEHDRDATA_TIMESTAMPdiff,FINANCIALGOALSDATA_EXPECTEDPREM,FINANCIALGOALSDATA_SUITABILITYSCORE,FINANCIALGOALSDATA_TIMESTAMPdiff,NBANNUITYDATA_ANNUITANTAGE,NBANNUITYDATA_EXPECTEDPREM,NBREPLACEMENTINFODATA_ESTIMATEDVALUE,issueDatediff,class,ops.predictedDisposition,ops.score,ops.uc2a,ops.uc5,policyAge,receivedDatediff,shortId,suitabilityScore,NBAGENTDATA_ISPRIMARY_VALUE_True,NBANNUITYDATA_ANNUITANTMARSTAT_VALUE_Married,NBANNUITYDATA_ISGROUP_VALUE_False,NBANNUITYDATA_ISGROUP_VALUE_True,NBANNUITYDATA_OWNERRELATION_VALUE_Self,NBANNUITYDATA_ISREPLACEMENT_VALUE_False,NBANNUITYDATA_ISREPLACEMENT_VALUE_True,CASEHDRDATA_STATUS_VALUE_Issued,NBREPLACEMENTINFODATA_PAYMENTSOURCETYPE_CODE_Transfer,NBANNUITYDATA_PURPOSEOFACCOUNT_VALUE_Premium Billing,NBANNUITYDATA_ANNUITYPOLICYOPTION_SPDA,NBANNUITYDATA_ANNUITYPOLICYOPTION_SPDA_10Yr,NBANNUITYDATA_ANNUITYPOLICYOPTION_SPDA_7Yr,NBANNUITYDATA_QUALIFIED_VALUE_False,NBANNUITYDATA_QUALIFIED_VALUE_True,NBREPLACEMENTINFODATA_REPLCO1035_VALUE_False,productType_RSL - Eleos,productType_RSL - Keystone,modelType_E-App,modelType_E-App Firelight,modelType_Issue,modelType_Mail,CASEHDRDATA_UNDERWRITINGSTATUS_VALUE_Last Requirement,FINANCIALGOALSDATA_EXPECTEDSURRPENALTY_CODE_Blank,FINANCIALGOALSDATA_EXPECTEDSURRPENALTY_CODE_No,FINANCIALGOALSDATA_REVERSEMORTGAGE_CODE_Blank,FINANCIALGOALSDATA_REVERSEMORTGAGE_CODE_No,CASEHDRDATA_ESIGNATUREIND_VALUE_False,CASEHDRDATA_ESIGNATUREIND_VALUE_True,NBANNUITYDATA_APPSIGNSTATE_VALUE_AL,NBANNUITYDATA_APPSIGNSTATE_VALUE_FL,NBANNUITYDATA_APPSIGNSTATE_VALUE_MA,NBANNUITYDATA_APPSIGNSTATE_VALUE_PA,NBANNUITYDATA_APPSIGNSTATE_VALUE_TN,NBANNUITYDATA_APPSIGNSTATE_VALUE_UT,NBANNUITYDATA_SYSTEMATICWITHDRAWAL_VALUE_False,FINANCIALGOALSDATA_ADEQUATEASSETS_VALUE_False,FINANCIALGOALSDATA_ADEQUATEASSETS_VALUE_True,NBANNUITYDATA_APPTYPE_VALUE_Full Application,NBANNUITYDATA_APPSTATUS_VALUE_New,NBANNUITYDATA_ROLLOVER_VALUE_False,NBANNUITYDATA_EXPECTEDSURRPENALTY_VALUE_No,NBANNUITYDATA_COMMOPTIONTYPE_VALUE_Option A,NBANNUITYDATA_ANNUITYPOLICYTYPE_BaseCov_SPDAMVA,NBANNUITYDATA_ANNUITYPOLICYTYPE_BaseCov_SPEIDA,NBANNUITYDATA_ADEQUATEASSETS_VALUE_False,NBANNUITYDATA_ADEQUATEASSETS_VALUE_True,CASEHDRDATA_ISGROUP_VALUE_False,CASEHDRDATA_ISGROUP_VALUE_True,NBANNUITYDATA_CHECKFORMS_VALUE_True,no_employees,eligible_num,NBANNUITYDATA_ACCOUNTTYPE_VALUE_Checking,NBANNUITYDATA_ACCOUNTTYPE_VALUE_Savings,NBANNUITYDATA_ANNUITANTMARSTAT_VALUE_Single,NBANNUITYDATA_APPSIGNSTATE_VALUE_CA,NBANNUITYDATA_APPSIGNSTATE_VALUE_CT,NBANNUITYDATA_APPSIGNSTATE_VALUE_NE,NBANNUITYDATA_APPSIGNSTATE_VALUE_NH,NBANNUITYDATA_APPSIGNSTATE_VALUE_OH,NBANNUITYDATA_APPSIGNSTATE_VALUE_PR,NBANNUITYDATA_APPSTATUS_VALUE_Submitted,NBANNUITYDATA_CASHWITHAPP,NBANNUITYDATA_COMMISSIONSWITHHELD,NBANNUITYDATA_OWNERORGTYPE_VALUE_Custodial,NBANNUITYDATA_OWNERORGTYPE_VALUE_Other,NBANNUITYDATA_OWNERORGTYPE_VALUE_Trust,NBANNUITYDATA_PAYMENTMETHOD_VALUE_Check,NBPAYMENTSDATA_AMOUNT,NBPAYMENTSDATA_COMMISSIONRETAINED,NBPAYMENTSDATA_METHOD_CLH,NBPAYMENTSDATA_NETCOMMISSIONS,NBPAYMENTSDATA_PREMIUMTYPE_CODE_DirTran,NBPAYMENTSDATA_PREMIUMTYPE_CODE_NewMoney,NBREPLACEMENTINFODATA_ACCTYPE_VALUE_Annuity ,NBREPLACEMENTINFODATA_ACCTYPE_VALUE_Other,NBREPLACEMENTINFODATA_EXCHANGETYPE_VALUE_External,NBREPLACEMENTINFODATA_PARTIALORFULL_VALUE_Full,NBREPLACEMENTINFODATA_PAYMENTSOURCETYPE_CODE_Replacement,NBREPLACEMENTINFODATA_PREVPLANTYPE_VALUE_Traditional IRA,NBREPLACEMENTINFODATA_REPLCO1035_VALUE_True
0b906ea3-92dc-4647-a3f4-c4b6b67fc6fd,-44200,-44200,-44200,-44200,-44200,-44200,-1.0,-1.0,-44200,-1.0,-1.0,-1.0,-44200,consistent,0,0.0,0.0,-1.0,76.0,-44200,2389481,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bf54674-8509-40b2-bf0f-fcbebc29ec70,-44201,-44201,-44201,-44201,-44201,-44201,-1.0,-1.0,-44201,-1.0,-1.0,-1.0,-44201,consistent,0,0.0,0.0,-1.0,64.0,-44201,2389915,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b605bab-974d-4a38-8ca2-5fd71cbb38a8,-44200,-44200,-44200,-44200,-44200,-44200,-1.0,-1.0,-44200,-1.0,-1.0,-1.0,-44200,consistent,0,0.0,0.0,-1.0,75.0,-44200,2389487,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3ebd07b-c94e-4ef9-b61d-bc92adaccd01,-44096,-44096,-44096,-44096,-44096,-44096,-1.0,-1.0,-44096,-1.0,-1.0,-1.0,-44096,consistent,0,0.0,0.0,-1.0,81.0,-44096,2195205,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8ce86fd-5a53-4c93-b000-bbdf00205f4d,-44170,-44170,-44170,-44170,-44170,-44170,-1.0,-1.0,-44170,-1.0,-1.0,-1.0,-44170,consistent,0,0.0,0.0,-1.0,76.0,-44170,2252244,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29d29674-b74d-4705-8702-361279866a49,-44194,-44194,-44194,-44194,-44194,-44194,-1.0,-1.0,-44194,-1.0,-1.0,-1.0,-44194,consistent,0,0.0,0.0,-1.0,68.0,-44194,2267516,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f3f1d7b-2242-4051-aed8-3a3c7ce583f4,-44200,-44200,-44200,-44200,-44200,-44200,-1.0,-1.0,-44200,-1.0,-1.0,-1.0,-44200,consistent,0,0.0,0.0,-1.0,83.0,-44200,2389482,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d7e2ad53-57d3-48b8-9b4e-eff074f2e5c7,-44102,-44102,-44102,-44102,-44102,-44102,-1.0,-1.0,-44102,-1.0,-1.0,-1.0,-44102,consistent,0,0.0,0.0,-1.0,58.0,-44102,2195253,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59a1443b-e21b-4948-8f1e-ad1ae7627975,-44201,-44201,-44201,-44201,-44201,-44201,-1.0,-1.0,-44201,-1.0,-1.0,-1.0,-44201,consistent,0,0.0,0.0,-1.0,82.0,-44201,2389490,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6bd2554a-c386-487e-92ff-813f8898af1e,-44381,-44381,-44381,-44381,-44381,-44381,-1.0,-1.0,-44381,-1.0,-1.0,-1.0,-44381,inconsistent,0,0.0,-1.0,-1.0,66.0,-44381,2546869,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KXP0007950,-44167,-44167,-44167,-44167,-44167,-44167,490000.0,35.0,-44167,56.0,490000.0,490000.0,-44167,consistent,1,0.2,1.0,0.0,-1.0,-44167,KXP0007950,35.0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMGP01319,-44118,-44118,-44118,-44118,-44118,-44118,10400.0,10.0,-44118,57.0,10400.0,-1.0,-44118,consistent,0,0.0,-1.0,0.0,-1.0,-44118,ATMGP01319,10.0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K7P0005323,-44121,-44121,-44121,-44121,-44121,-44121,100000.0,15.0,-44121,75.0,100000.0,100000.0,-44121,inconsistent,1,1.0,-1.0,1.0,-1.0,-44121,K7P0005323,65.0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMIE15177,0,0,0,0,0,0,33000.0,15.0,0,70.0,33000.0,-1.0,0,consistent,0,0.0,-1.0,0.0,-1.0,0,ATMIE15177,15.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMGE02531,-1,-1,-1,-1,-1,-1,20000.0,0.0,-1,75.0,20000.0,-1.0,-1,consistent,0,0.0,-1.0,0.0,-1.0,-1,ATMGE02531,0.0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMIE14952,0,0,0,0,0,0,10000.0,0.0,0,39.0,10000.0,-1.0,0,inconsistent,0,0.0,-1.0,0.0,-1.0,0,ATMIE14952,0.0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMIE14953,0,0,0,0,0,0,15765.06,0.0,0,61.0,15765.06,-1.0,0,consistent,0,0.0,-1.0,0.0,-1.0,0,ATMIE14953,0.0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
